gauge	InnerCorner	OuterCorner	SWA	aiBlur	defocus	focusBlur
Chain_V_1_222	0.359254	-0.476606	-4.56526	-1.326	-1.22382	-0.410854
Chain_V_1_223	0.389555	-0.497752	-4.55492	-1.29467	-1.2359	-0.411178
Chain_V_1_224	0.0899407	-0.105665	-3.97407	-1.52117	-1.0075	-0.384639
Chain_V_1_225	0.0897956	-0.104766	-3.80138	-1.44066	-1.01739	-0.392727
Chain_V_1_226	0.0879847	-0.10266	-3.98114	-1.52516	-1.01966	-0.384923
Chain_V_1_54	0.089124	-0.238825	-4.96789	-0.659602	-0.322774	0.0160793
Chain_V_1_55	0.0988322	-0.225051	-4.93427	-0.699733	-0.316492	0.0105248
Chain_V_1_56	0.0912428	-0.226657	-4.93861	-0.704084	-0.32819	0.0106852
Chain_V_1_64	0.0917796	-0.156098	-3.61106	-0.815471	-0.58663	-0.226886
Chain_V_1_65	0.118107	-0.210021	-3.67028	-0.811592	-0.585352	-0.244866
Chain_V_1_66	0.0745299	-0.127053	-3.56343	-0.804796	-0.593044	-0.235845
