gauge	InnerCorner	OuterCorner	SWA	aiBlur	defocus	focusBlur	mse
DLE1_37_4	-0.218808	4.05529	13.2394	1.8624599999999998	0.553732	0.249218	4.952596421721136
DLE1_37_5	-0.22819699999999998	4.04683	13.3375	2.16169	1.17373	0.38447800000000004	5.0407274586238175
DLE1_37_6	-0.247639	3.7915300000000003	12.9043	2.50261	1.9186299999999998	0.599503	4.982768647988661
DLE1_37_7	-0.27726799999999996	3.23409	12.3691	1.97097	2.51973	0.798192	4.836059882672928
DLE1_37_8	-0.20465	3.7572400000000004	13.619000000000002	2.59538	1.70104	0.6167159999999999	5.1893260912901304
DLE1_37_9	-0.348416	4.5426	13.57	2.45729	-0.650712	-0.130636	5.150571894198789
DLE1_38_0	-0.47965699999999994	4.91951	14.3517	2.71024	-0.953685	-0.0155088	5.482667336546846
DLE1_38_1	-0.5293800000000001	5.065580000000001	14.4417	2.63127	-0.75758	-0.0204101	5.513039356438085
DLE1_38_10	-0.19198800000000002	2.8006599999999997	10.4609	1.40829	0.753595	0.204173	3.889724737173699
DLE1_38_11	-0.136534	2.6190599999999997	10.4277	1.65808	1.5705200000000001	0.464721	3.968309435581432
DLE1_38_12	-0.153806	2.7037400000000003	10.7863	1.6939799999999998	1.53306	0.5134380000000001	4.090570554248514
DLE1_38_13	-0.423034	3.5710599999999997	11.7156	1.5508600000000001	-0.196248	-0.16632	4.369426157450026
DLE1_38_14	-0.22519299999999998	2.09957	9.044089999999999	0.9473940000000001	0.568854	0.0928977	3.3191007817272262
DLE1_38_15	-0.131193	1.70862	8.97095	0.906698	2.06156	0.6302989999999999	3.4889827457934284
DLE1_38_16	-0.0691904	1.26155	7.0109699999999995	0.7470399999999999	0.312409	0.0249137	2.539721531456324
DLE1_38_17	-0.07803099999999999	0.8232709999999999	8.32736	-0.0990607	2.24506	0.624603	3.2701225834572223
DLE1_38_18	-0.08125650000000001	0.857298	7.3147199999999994	0.273725	1.8142200000000002	0.529841	2.8389375355073914
DLE1_38_2	-0.377758	5.38741	15.6743	2.75411	-0.287071	-0.102854	5.944466946446955
DLE1_38_3	-0.37205900000000003	4.82525	14.9764	2.4144200000000002	0.337497	0.109298	5.633572413289501
DLE1_38_4	-0.218171	3.9020300000000003	12.8577	1.8485200000000002	0.526638	0.24303000000000002	4.807572393066133
DLE1_38_5	-0.20051	3.9560199999999996	13.2171	2.1491599999999997	1.15224	0.384209	4.9891320290279575
DLE1_38_6	-0.220567	3.6917699999999996	12.5206	2.4885900000000003	1.85665	0.587699	4.838945622041412
DLE1_38_7	-0.270372	3.1774400000000003	12.1331	1.9691599999999998	2.41588	0.763163	4.7348545248950495
DLE1_38_8	-0.156362	3.70076	13.5064	2.5941799999999997	1.68042	0.618345	5.144493040539429
DLE1_38_9	-0.34459	4.204330000000001	12.956	2.2953799999999998	-0.6415890000000001	-0.131671	4.901199916199144
DLE1_39_0	-0.45080299999999995	5.10431	14.6676	2.79714	-0.9631430000000001	-0.0119189	5.612516828883826
DLE1_39_1	-0.531353	4.9305	14.1975	2.55745	-0.750505	-0.022868	5.412855291151889
DLE1_39_10	-0.18243499999999999	2.7987900000000003	10.4432	1.40495	0.751121	0.203316	3.8832123364812925
